date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:55:16	48732/48732	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20May%202024%2023:55:16%20GMT	https://lisaflix.com.br/assinar-top-streams/	C:/Users/Gustavo/Documents/teste/Copia%20Lisa/lisaflix.com.br/assinar-top-streams/index.html	(from )
20:55:17	173/173	---MC-	200	added ('OK')	text/plain	date:Thu,%2009%20May%202024%2023:55:16%20GMT	https://lisaflix.com.br/robots.txt		(from )
20:55:17	11256/11256	---M--	200	added ('OK')	text/css	date:Wed,%2017%20Apr%202024%2020:52:46%20GMT	https://lisaflix.com.br/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17	C:/Users/Gustavo/Documents/teste/Copia%20Lisa/lisaflix.com.br/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css	(from https://lisaflix.com.br/assinar-top-streams/)
20:55:17	4186/4186	---M--	200	added ('OK')	text/css	date:Wed,%2017%20Apr%202024%2020:52:46%20GMT	https://lisaflix.com.br/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.5.3	C:/Users/Gustavo/Documents/teste/Copia%20Lisa/lisaflix.com.br/wp-includes/js/mediaelement/wp-mediaelement.minef10.css	(from https://lisaflix.com.br/assinar-top-streams/)
20:55:17	51757/51757	---M--	200	added ('OK')	text/css	date:Wed,%2017%20Apr%202024%2020:51:46%20GMT	https://lisaflix.com.br/wp-content/plugins/wp-plugin-hostgator/vendor/newfold-labs/wp-module-patterns/assets/build/utilities.css?ver=0.1.16	C:/Users/Gustavo/Documents/teste/Copia%20Lisa/lisaflix.com.br/wp-content/plugins/wp-plugin-hostgator/vendor/newfold-labs/wp-module-patterns/assets/build/utilities0d29.css	(from https://lisaflix.com.br/assinar-top-streams/)
20:55:17	1115/1115	---M--	200	added ('OK')	text/css	date:Tue,%2007%20May%202024%2008:30:53%20GMT	https://lisaflix.com.br/wp-content/plugins/piotnet-addons-for-elementor/assets/css/minify/extension.min.css?ver=2.4.27	C:/Users/Gustavo/Documents/teste/Copia%20Lisa/lisaflix.com.br/wp-content/plugins/piotnet-addons-for-elementor/assets/css/minify/extension.minb084.css	(from https://lisaflix.com.br/assinar-top-streams/)
20:55:18	17688/17688	---M--	200	added ('OK')	text/css	date:Mon,%2029%20Apr%202024%2020:29:54%20GMT	https://lisaflix.com.br/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=8.8.3	C:/Users/Gustavo/Documents/teste/Copia%20Lisa/lisaflix.com.br/wp-content/plugins/woocommerce/assets/css/woocommerce-layout27f0.css	(from https://lisaflix.com.br/assinar-top-streams/)
20:55:18	7043/7043	---M--	200	added ('OK')	text/css	date:Mon,%2029%20Apr%202024%2020:29:54%20GMT	https://lisaflix.com.br/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=8.8.3	C:/Users/Gustavo/Documents/teste/Copia%20Lisa/lisaflix.com.br/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen27f0.css	(from https://lisaflix.com.br/assinar-top-streams/)
20:55:18	77174/77174	---M--	200	added ('OK')	text/css	date:Mon,%2029%20Apr%202024%2020:29:54%20GMT	https://lisaflix.com.br/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=8.8.3	C:/Users/Gustavo/Documents/teste/Copia%20Lisa/lisaflix.com.br/wp-content/plugins/woocommerce/assets/css/woocommerce27f0.css	(from https://lisaflix.com.br/assinar-top-streams/)
20:55:18	5756/5756	---M--	200	added ('OK')	text/css	date:Wed,%2017%20Apr%202024%2020:51:46%20GMT	https://lisaflix.com.br/wp-content/themes/hello-elementor/style.min.css?ver=3.0.1	C:/Users/Gustavo/Documents/teste/Copia%20Lisa/lisaflix.com.br/wp-content/themes/hello-elementor/style.min41fe.css	(from https://lisaflix.com.br/assinar-top-streams/)
20:55:19	5131/5131	---M--	200	added ('OK')	text/css	date:Wed,%2017%20Apr%202024%2020:51:46%20GMT	https://lisaflix.com.br/wp-content/themes/hello-elementor/theme.min.css?ver=3.0.1	C:/Users/Gustavo/Documents/teste/Copia%20Lisa/lisaflix.com.br/wp-content/themes/hello-elementor/theme.min41fe.css	(from https://lisaflix.com.br/assinar-top-streams/)
20:55:19	7325/7325	---M--	200	added ('OK')	text/css	date:Wed,%2017%20Apr%202024%2020:51:46%20GMT	https://lisaflix.com.br/wp-content/themes/hello-elementor/header-footer.min.css?ver=3.0.1	C:/Users/Gustavo/Documents/teste/Copia%20Lisa/lisaflix.com.br/wp-content/themes/hello-elementor/header-footer.min41fe.css	(from https://lisaflix.com.br/assinar-top-streams/)
20:55:19	118945/118945	---M--	200	added ('OK')	text/css	date:Wed,%2008%20May%202024%2020:29:57%20GMT	https://lisaflix.com.br/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.21.5	C:/Users/Gustavo/Documents/teste/Copia%20Lisa/lisaflix.com.br/wp-content/plugins/elementor/assets/css/frontend-lite.min63aa.css	(from https://lisaflix.com.br/assinar-top-streams/)
20:55:19	1169/1169	---M--	200	added ('OK')	text/css	date:Wed,%2008%20May%202024%2020:30:08%20GMT	https://lisaflix.com.br/wp-content/uploads/elementor/css/post-7.css?ver=1715200208	C:/Users/Gustavo/Documents/teste/Copia%20Lisa/lisaflix.com.br/wp-content/uploads/elementor/css/post-7c585.css	(from https://lisaflix.com.br/assinar-top-streams/)
